predicted_return;actual_return;error
0.0;0.0;0.0
3.079793002621995e-06;1.11627207872056e-05;8.082927784583604e-06
3.079793002621995e-06;-8.775199497143307e-06;-1.1854992499765303e-05
3.079793002621995e-06;-3.324184650577042e-06;-6.403977653199037e-06
5.3604358720282715e-06;-6.0559958202387614e-06;-1.1416431692267034e-05
3.6310185372829436e-06;1.5755676777578196e-06;-2.0554508595251238e-06
2.1975883465674187e-06;1.602687041068105e-05;1.3829282064113632e-05
3.079793002621995e-06;1.938288834169434e-05;1.6303095339072343e-05
2.8373141422039933e-06;-2.733499895966588e-06;-5.570814038170582e-06
3.6310185372829436e-06;1.360330298831973e-05;9.972284451036786e-06
