predicted_return;actual_return;error
0.0;0.0;0.0
-7.306234685623127e-06;9.775431053231055e-05;0.00010506054521793367
-2.2101846516909806e-05;-6.857135764045594e-05;-4.6469511123546135e-05
-4.909912156812523e-05;-3.9061532148301266e-05;1.0037589419823962e-05
-7.306234685623127e-06;-4.526011772629556e-05;-3.795388304067243e-05
-7.306234685623127e-06;6.885933564065505e-06;1.4192168249688632e-05
-2.2101846516909806e-05;4.1222819918712175e-05;6.332466643562198e-05
-7.306234685623127e-06;6.236094744258183e-05;6.966718212820496e-05
-7.306234685623127e-06;0.0001580917917902743;0.00016539802647589743
-2.2101846516909806e-05;0.00017486602415387758;0.00019696787067078738
