inserttime;initial_investment;agg_return;profit_loss
2022-11-24 18:26:26;100;100.0;0.0
2022-11-24 18:35:44;200;200.0;0.0
2022-11-24 18:44:35;300;300.0;0.0
2022-11-24 18:52:44;400;400.0;0.0
2022-11-24 19:01:14;500;500.0;0.0
2022-11-24 19:09:38;500;500.0;0.0
2022-11-24 19:18:07;500;500.0;0.0
2022-11-24 19:24:38;500;499.9976827553158;-0.0023172446842067984
2022-11-24 19:31:09;500;499.99092412449755;-0.009075875502446706
2022-11-24 19:37:41;500;499.9841654936793;-0.015834506320686614
2022-11-24 19:44:03;500;499.977406862861;-0.022593137138983366
2022-11-24 19:50:34;500;499.9706482320428;-0.029351767957223274
