predicted_return;actual_return;error
0.0;0.0;0.0
-3.931106717586518e-06;2.1846930159982882e-06;6.115799733584806e-06
-3.931106717586518e-06;2.1341842483826393e-05;2.527294920141291e-05
-2.8444769451618195e-05;-9.020847280218973e-05;-6.176370335057154e-05
-2.8444769451618195e-05;2.7325509650239366e-05;5.577027910185756e-05
-3.931106717586518e-06;3.7453354456594318e-06;7.67644216324595e-06
-3.931106717586518e-06;1.8090634369956302e-05;2.202174108754282e-05
-1.832166268110275e-05;2.4738816660624894e-05;4.3060479341727644e-05
-2.8444769451618195e-05;9.471928129037734e-05;0.00012316405074199553
-8.083121535778046e-06;0.00026647221197732926;0.0002745553335131073
